"Title","Mean","SD"
"Facilitating Conditions",3.46722027972028,0.592753185988008
"Effort Expectancy",3.54665131909714,0.606501716601542
"Performance Expectancy",3.53954238329238,0.560946173909327
"Social Influence",3.61308626014508,0.524600764663881
